study_version,threshold_policy,window_days,entries_per_day,positive_group,n_positive,n_negative,threshold,true_positive,false_positive,false_negative,true_negative,precision,recall,f1,false_positive_rate,f1_ci_low,f1_ci_high,recall_ci_low,recall_ci_high,false_positive_rate_ci_low,false_positive_rate_ci_high,auroc,auroc_ci_low,auroc_ci_high,auroc_deviation_only,auroc_rules_only,auroc_temporal_shift_only,mean_temporal_shift_positive,mean_temporal_shift_negative,not_enough_data_rate,baseline_mean_error_in_sd,baseline_mean_error_ci_low,baseline_mean_error_ci_high,baseline_std_relative_error,oracle_f1_in_hindsight,oracle_threshold_in_hindsight
data-sufficiency-1,fpr_controlled,3,1,all_shift,240,120,4.5285,165,41,75,79,0.8009708737864077,0.6875,0.7399103139013453,0.3416666666666667,0.690472,0.782422,0.626294,0.742799,0.262904,0.430252,0.7088888888888889,0.653336,0.765795,0.7368402777777778,0.8015798611111111,0.6006076388888889,2.47625,2.2020833333333334,0.0,0.47486420833333337,0.462195,0.488124,0.5289971833333333,0.814815,3.568
data-sufficiency-1,fpr_controlled,3,3,shift_moderate,120,120,4.5285,88,34,32,86,0.7213114754098361,0.7333333333333333,0.7272727272727273,0.2833333333333333,0.661017,0.786288,0.647876,0.804315,0.210406,0.369702,0.7684027777777778,0.706003,0.826343,0.7705208333333333,0.8427083333333333,0.5202083333333334,2.3879166666666665,2.32,0.0,0.4581398666666667,0.441361,0.47579,0.41955193749999997,0.753036,4.389
data-sufficiency-1,fpr_controlled,3,3,shift_large,120,120,4.5285,119,34,1,86,0.7777777777777778,0.9916666666666667,0.8717948717948719,0.2833333333333333,0.828346,0.911663,0.954304,0.998527,0.210406,0.369702,0.886875,0.840623,0.927834,0.9039930555555555,0.9790277777777778,0.5663888888888889,2.5262499999999997,2.32,0.0,0.47861842499999996,0.45984,0.497845,0.4307494833333333,0.888889,5.297
data-sufficiency-1,fpr_controlled,3,3,all_shift,240,120,4.5285,207,34,33,86,0.8589211618257261,0.8625,0.8607068607068608,0.2833333333333333,0.825112,0.891521,0.81319,0.900389,0.210406,0.369702,0.8276388888888889,0.781854,0.87364,0.8372569444444444,0.9108680555555555,0.5432986111111111,2.457083333333333,2.32,0.0,0.4672372472222223,0.452857,0.4821,0.42669868055555554,0.872428,4.389
data-sufficiency-1,fpr_controlled,3,5,shift_moderate,120,120,4.5285,99,29,21,91,0.7734375,0.825,0.7983870967741935,0.24166666666666667,0.741063,0.850216,0.747243,0.882595,0.173858,0.325501,0.8425,0.786282,0.894144,0.8289930555555556,0.8847222222222222,0.5939583333333334,2.4270833333333335,2.1458333333333335,0.0,0.4615967791666667,0.445743,0.477536,0.4179215041666667,0.830189,3.961
data-sufficiency-1,fpr_controlled,3,5,shift_large,120,120,4.5285,120,29,0,91,0.8053691275167785,1.0,0.8921933085501859,0.24166666666666667,0.848978,0.929368,0.968981,1.0,0.173858,0.325501,0.9167361111111111,0.875794,0.953149,0.9038541666666666,0.9693402777777778,0.6865277777777777,2.6479166666666667,2.1458333333333335,0.0,0.4613502541666667,0.4444,0.478201,0.4108836083333333,0.933333,6.419
data-sufficiency-1,fpr_controlled,3,5,all_shift,240,120,4.5285,219,29,21,91,0.8830645161290323,0.9125,0.8975409836065574,0.24166666666666667,0.86864,0.924304,0.869945,0.942058,0.173858,0.325501,0.8796180555555555,0.831494,0.922784,0.8664236111111111,0.92703125,0.6402430555555556,2.5375,2.1458333333333335,0.0,0.459285525,0.445866,0.472876,0.4131709111111111,0.910891,3.961
data-sufficiency-1,fpr_controlled,5,1,shift_moderate,120,120,4.5285,58,30,62,90,0.6590909090909091,0.48333333333333334,0.5576923076923077,0.25,0.474219,0.634379,0.395836,0.571864,0.181098,0.334411,0.6738541666666666,0.604974,0.741739,0.6895486111111111,0.7154513888888889,0.5771875,2.42,2.2020833333333334,0.0,0.36223419583333333,0.350295,0.374096,0.4074711875,0.719723,2.5605
data-sufficiency-1,fpr_controlled,5,1,shift_large,120,120,4.5285,97,30,23,90,0.7637795275590551,0.8083333333333333,0.785425101214575,0.25,0.723391,0.838716,0.728788,0.86875,0.181098,0.334411,0.8020486111111111,0.742447,0.856267,0.8321875,0.9082291666666666,0.6240277777777777,2.5324999999999998,2.2020833333333334,0.0,0.37073830416666664,0.358722,0.383037,0.4103666125,0.827068,3.7085
data-sufficiency-1,fpr_controlled,5,1,all_shift,240,120,4.5285,155,30,85,90,0.8378378378378378,0.6458333333333334,0.7294117647058824,0.25,0.678047,0.775865,0.583463,0.703608,0.181098,0.334411,0.7379513888888889,0.680709,0.792377,0.7608680555555556,0.8118402777777778,0.6006076388888889,2.47625,2.2020833333333334,0.0,0.3648565138888889,0.355177,0.374433,0.40513079444444444,0.833652,2.5605
data-sufficiency-1,fpr_controlled,5,3,shift_moderate,120,120,4.5285,80,21,40,99,0.7920792079207921,0.6666666666666666,0.7239819004524886,0.175,0.653846,0.787624,0.578311,0.744683,0.117405,0.252757,0.8130902777777778,0.753717,0.865694,0.8365625,0.8328125,0.5202083333333334,2.3879166666666665,2.32,0.0,0.3433336875,0.329589,0.35687,0.30713661249999996,0.771784,3.8575
data-sufficiency-1,fpr_controlled,5,3,shift_large,120,120,4.5285,119,21,1,99,0.85,0.9916666666666667,0.9153846153846154,0.175,0.881478,0.947368,0.954304,0.998527,0.117405,0.252757,0.9455555555555556,0.90839,0.979235,0.9520833333333333,0.9739583333333334,0.5663888888888889,2.5262499999999997,2.32,0.0,0.35600387499999997,0.343131,0.369078,0.30958037916666664,0.942149,5.842
data-sufficiency-1,fpr_controlled,5,3,all_shift,240,120,4.5285,199,21,41,99,0.9045454545454545,0.8291666666666667,0.8652173913043478,0.175,0.829381,0.896556,0.776458,0.871504,0.117405,0.252757,0.8793229166666666,0.835399,0.917831,0.8943229166666666,0.9033854166666667,0.5432986111111111,2.457083333333333,2.32,0.0,0.350713925,0.339955,0.36175,0.3103383083333333,0.885655,3.8575
data-sufficiency-1,fpr_controlled,5,5,shift_moderate,120,120,4.5285,102,16,18,104,0.864406779661017,0.85,0.8571428571428572,0.13333333333333333,0.807018,0.9,0.775325,0.902962,0.083766,0.205648,0.9176041666666667,0.879828,0.949551,0.9257291666666667,0.8826736111111111,0.5939583333333334,2.4270833333333335,2.1458333333333335,0.0,0.35534699166666667,0.3435,0.366778,0.29837700833333336,0.863071,4.3985
data-sufficiency-1,fpr_controlled,5,5,shift_large,120,120,4.5285,120,16,0,104,0.8823529411764706,1.0,0.9375,0.13333333333333333,0.903759,0.966039,0.968981,1.0,0.083766,0.205648,0.9811805555555555,0.95721,0.999931,0.9776041666666667,0.9651388888888889,0.6865277777777777,2.6479166666666667,2.1458333333333335,0.0,0.3514029833333333,0.339428,0.364168,0.2985619125,0.983607,6.0505
data-sufficiency-1,fpr_controlled,5,5,all_shift,240,120,4.5285,222,16,18,104,0.9327731092436975,0.925,0.9288702928870293,0.13333333333333333,0.90393,0.951648,0.884574,0.952035,0.083766,0.205648,0.9493923611111111,0.918952,0.973668,0.9516666666666667,0.92390625,0.6402430555555556,2.5375,2.1458333333333335,0.0,0.35261620833333335,0.342897,0.362875,0.29756401388888887,0.931393,4.3985
